reporting_airline,dot_id_reporting_airline,tail_number,originairportid,origin,destairportid,dest,crsdeptime,deptime,depdelay,crsarrtime,arrtime,arrdelay,cancelled,totaladdgtime,arrival_time,col_for_aircraft_model,arrival_time_min,time_only_int,Taxis_departed
"US",20355,"N519UW",14107,"PHX",13930,"ORD",1945,2002,17,2358,3,5,0,0,3,"null",3,15,2
"UA",19977,"N569UA",11292,"DEN",13930,"ORD",2113,2114,1,38,11,-27,0,0,11,"null",11,15,2
"AA",19805,"N3DGAA",14771,"SFO",13930,"ORD",1815,1809,-6,15,4,-11,0,0,4,"null",4,15,2
"UA",19977,"N425UA",14771,"SFO",13930,"ORD",1821,1907,46,27,111,44,0,0,111,"null",71,90,3
"UA",19977,"N39463",14057,"PDX",13930,"ORD",2310,2313,3,512,500,-12,0,0,500,"null",300,330,4
"EV",20366,"N14902",11986,"GRR",13930,"ORD",533,527,-6,534,516,-18,0,0,516,"null",316,330,4
"EV",20366,"N14902",11986,"GRR",13930,"ORD",533,527,-6,534,516,-18,0,0,516,"null",316,345,1
"UA",19977,"N526UA",14771,"SFO",13930,"ORD",2308,2315,7,516,532,16,0,0,532,"null",332,345,1
"UA",19977,"N463UA",12892,"LAX",13930,"ORD",2340,2344,4,537,542,5,0,0,542,"null",342,345,1
"UA",19977,"N73275",10299,"ANC",13930,"ORD",2025,2039,14,510,532,22,0,0,532,"null",332,345,1
"UA",19977,"N526UA",14771,"SFO",13930,"ORD",2308,2315,7,516,532,16,0,0,532,"null",332,360,2
"UA",19977,"N73275",10299,"ANC",13930,"ORD",2025,2039,14,510,532,22,0,0,532,"null",332,360,2
"UA",19977,"N463UA",12892,"LAX",13930,"ORD",2340,2344,4,537,542,5,0,0,542,"null",342,360,2
"MQ",20398,"N618MQ",10469,"AZO",13930,"ORD",600,555,-5,600,545,-15,0,0,545,"null",345,360,2
"AA",19805,"N4YSAA",12889,"LAS",13930,"ORD",30,32,2,600,546,-14,0,0,546,"null",346,360,2
"AA",19805,"N3DLAA",12892,"LAX",13930,"ORD",2355,2355,0,550,548,-2,0,0,548,"null",348,360,2
"UA",19977,"N39418",14771,"SFO",13930,"ORD",2341,2346,5,547,554,7,0,0,554,"null",354,360,2
"AA",19805,"N3DLAA",12892,"LAX",13930,"ORD",2355,2355,0,550,548,-2,0,0,548,"null",348,375,2
"UA",19977,"N39418",14771,"SFO",13930,"ORD",2341,2346,5,547,554,7,0,0,554,"null",354,375,2
"MQ",20398,"N618MQ",10469,"AZO",13930,"ORD",600,555,-5,600,545,-15,0,0,545,"null",345,375,2
"AA",19805,"N3DDAA",14771,"SFO",13930,"ORD",2355,2353,-2,600,604,4,0,0,604,"null",364,375,2
"AA",19805,"N4YSAA",12889,"LAS",13930,"ORD",30,32,2,600,546,-14,0,0,546,"null",346,375,2
"OO",20304,"N984CA",11076,"CMX",13930,"ORD",545,543,-2,606,618,12,0,0,618,"null",378,390,3
"EV",20366,"N14573",10874,"CAK",13930,"ORD",546,545,-1,619,623,4,0,0,623,"null",383,390,3
"AA",19805,"N3DDAA",14771,"SFO",13930,"ORD",2355,2353,-2,600,604,4,0,0,604,"null",364,390,3
"MQ",20398,"N806MQ",11066,"CMH",13930,"ORD",550,0,0,615,0,0,1,0,615,"null",375,390,3
"MQ",20398,"N645MQ",11193,"CVG",13930,"ORD",600,556,-4,625,628,3,0,0,628,"null",388,390,3
"MQ",20398,"N806MQ",11066,"CMH",13930,"ORD",550,0,0,615,0,0,1,0,615,"null",375,405,2
"OO",20304,"N984CA",11076,"CMX",13930,"ORD",545,543,-2,606,618,12,0,0,618,"null",378,405,2
"EV",20366,"N14573",10874,"CAK",13930,"ORD",546,545,-1,619,623,4,0,0,623,"null",383,405,2
"MQ",20398,"N645MQ",11193,"CVG",13930,"ORD",600,556,-4,625,628,3,0,0,628,"null",388,405,2
"EV",20366,"N14977",11146,"CRW",13930,"ORD",530,524,-6,608,630,22,0,0,630,"null",390,405,2
"MQ",20398,"N922MQ",11042,"CLE",13930,"ORD",600,600,0,625,635,10,0,0,635,"null",395,405,2
"OO",20304,"N768SK",11066,"CMH",13930,"ORD",600,559,-1,621,640,19,0,0,640,"null",400,405,2
"MQ",20398,"N834MQ",11067,"CMI",13930,"ORD",600,551,-9,700,640,-20,0,0,640,"null",400,405,2
"EV",20366,"N10575",15412,"TYS",13930,"ORD",600,605,5,645,640,-5,0,0,640,"null",400,405,2
"EV",20366,"N14570",11042,"CLE",13930,"ORD",600,559,-1,624,640,16,0,0,640,"null",400,405,2
"OO",20304,"N953SW",13342,"MKE",13930,"ORD",600,553,-7,649,641,-8,0,0,641,"null",401,405,2
"EV",20366,"N12201",12884,"LAN",13930,"ORD",700,655,-5,708,644,-24,0,0,644,"null",404,405,2
"OO",20304,"N926SW",14952,"SPI",13930,"ORD",600,556,-4,659,650,-9,0,0,650,"null",410,420,2
"EV",20366,"N10575",15412,"TYS",13930,"ORD",600,605,5,645,640,-5,0,0,640,"null",400,420,2
"OO",20304,"N928SW",11471,"EAU",13930,"ORD",554,550,-4,712,656,-16,0,0,656,"null",416,420,2
"EV",20366,"N14570",11042,"CLE",13930,"ORD",600,559,-1,624,640,16,0,0,640,"null",400,420,2
"UA",19977,"N439UA",14492,"RDU",13930,"ORD",550,548,-2,709,650,-19,0,0,650,"null",410,420,2
"OO",20304,"N953SW",13342,"MKE",13930,"ORD",600,553,-7,649,641,-8,0,0,641,"null",401,420,2
"EV",20366,"N11165",10408,"ATW",13930,"ORD",551,551,0,650,654,4,0,0,654,"null",414,420,2
"EV",20366,"N14977",11146,"CRW",13930,"ORD",530,524,-6,608,630,22,0,0,630,"null",390,420,2
"EV",20366,"N12201",12884,"LAN",13930,"ORD",700,655,-5,708,644,-24,0,0,644,"null",404,420,2
"MQ",20398,"N922MQ",11042,"CLE",13930,"ORD",600,600,0,625,635,10,0,0,635,"null",395,420,2
"MQ",20398,"N644MQ",14576,"ROC",13930,"ORD",600,554,-6,710,647,-23,0,0,647,"null",407,420,2
"OO",20304,"N768SK",11066,"CMH",13930,"ORD",600,559,-1,621,640,19,0,0,640,"null",400,420,2
"MQ",20398,"N673MQ",14122,"PIT",13930,"ORD",600,549,-11,645,659,14,0,0,659,"null",419,420,2
